,external_urls,followers,genres,href,id,images,name,popularity,type,uri
39,{'spotify': 'https://open.spotify.com/artist/3q7HBObVc0L8jNeTe5Gofh'},"{'href': None, 'total': 12148386}","['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",https://api.spotify.com/v1/artists/3q7HBObVc0L8jNeTe5Gofh,3q7HBObVc0L8jNeTe5Gofh,"[{'height': 977, 'url': 'https://i.scdn.co/image/dd031b9c5d1b6eba4a691cd89c954255aae787f2', 'width': 781}, {'height': 801, 'url': 'https://i.scdn.co/image/6f0da41419b31d9d2ba55d2df212f59ad0668118', 'width': 640}, {'height': 250, 'url': 'https://i.scdn.co/image/df73c0cebe56cafe705ffdba5085ccbd5680bd16', 'width': 200}, {'height': 80, 'url': 'https://i.scdn.co/image/1a44043542c997ef835c89e185f0cf79d7402153', 'width': 64}]",50 Cent,81,artist,spotify:artist:3q7HBObVc0L8jNeTe5Gofh
40,{'spotify': 'https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR'},"{'href': None, 'total': 75414766}","['detroit hip hop', 'hip hop', 'rap']",https://api.spotify.com/v1/artists/7dGJo4pcD2V6oG8kP0tJRR,7dGJo4pcD2V6oG8kP0tJRR,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eba00b11c129b27a88fc72f36b', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174a00b11c129b27a88fc72f36b', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178a00b11c129b27a88fc72f36b', 'width': 160}]",Eminem,88,artist,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR
41,{'spotify': 'https://open.spotify.com/artist/3q7HBObVc0L8jNeTe5Gofh'},"{'href': None, 'total': 12148386}","['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",https://api.spotify.com/v1/artists/3q7HBObVc0L8jNeTe5Gofh,3q7HBObVc0L8jNeTe5Gofh,"[{'height': 977, 'url': 'https://i.scdn.co/image/dd031b9c5d1b6eba4a691cd89c954255aae787f2', 'width': 781}, {'height': 801, 'url': 'https://i.scdn.co/image/6f0da41419b31d9d2ba55d2df212f59ad0668118', 'width': 640}, {'height': 250, 'url': 'https://i.scdn.co/image/df73c0cebe56cafe705ffdba5085ccbd5680bd16', 'width': 200}, {'height': 80, 'url': 'https://i.scdn.co/image/1a44043542c997ef835c89e185f0cf79d7402153', 'width': 64}]",50 Cent,81,artist,spotify:artist:3q7HBObVc0L8jNeTe5Gofh
42,{'spotify': 'https://open.spotify.com/artist/1BrFcFtIp3ZqvuI5C0VcK3'},"{'href': None, 'total': 404979}","['funk bh', 'funk mtg']",https://api.spotify.com/v1/artists/1BrFcFtIp3ZqvuI5C0VcK3,1BrFcFtIp3ZqvuI5C0VcK3,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebddf874c5f11d11b27f35bfcf', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174ddf874c5f11d11b27f35bfcf', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178ddf874c5f11d11b27f35bfcf', 'width': 160}]",MC Luan da BS,53,artist,spotify:artist:1BrFcFtIp3ZqvuI5C0VcK3
43,{'spotify': 'https://open.spotify.com/artist/4NYa9HEvARX9LXU4LRoGny'},"{'href': None, 'total': 76186}","['funk bh', 'funk mtg']",https://api.spotify.com/v1/artists/4NYa9HEvARX9LXU4LRoGny,4NYa9HEvARX9LXU4LRoGny,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb93cf4502a4440a9eae82217a', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517493cf4502a4440a9eae82217a', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17893cf4502a4440a9eae82217a', 'width': 160}]",Mc Vitin do LJ,39,artist,spotify:artist:4NYa9HEvARX9LXU4LRoGny
44,{'spotify': 'https://open.spotify.com/artist/0f6Q3bpuXN7TfNxeJJBd3m'},"{'href': None, 'total': 6488}",['funk viral'],https://api.spotify.com/v1/artists/0f6Q3bpuXN7TfNxeJJBd3m,0f6Q3bpuXN7TfNxeJJBd3m,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb4ef303844dd9f816a2ef97fc', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051744ef303844dd9f816a2ef97fc', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1784ef303844dd9f816a2ef97fc', 'width': 160}]",MC Marley,39,artist,spotify:artist:0f6Q3bpuXN7TfNxeJJBd3m
45,{'spotify': 'https://open.spotify.com/artist/5aQKOvhimUGFQDDhFq52qs'},"{'href': None, 'total': 2521}",[],https://api.spotify.com/v1/artists/5aQKOvhimUGFQDDhFq52qs,5aQKOvhimUGFQDDhFq52qs,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebdacda8c960940afa7b10bd81', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174dacda8c960940afa7b10bd81', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178dacda8c960940afa7b10bd81', 'width': 160}]",Flex Uptown,17,artist,spotify:artist:5aQKOvhimUGFQDDhFq52qs
46,{'spotify': 'https://open.spotify.com/artist/2iNFFCEAFdfAV5hPdpMk6x'},"{'href': None, 'total': 532885}","['trap carioca', 'trap pesado']",https://api.spotify.com/v1/artists/2iNFFCEAFdfAV5hPdpMk6x,2iNFFCEAFdfAV5hPdpMk6x,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebb051325b1f8d2ad346751f6b', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174b051325b1f8d2ad346751f6b', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178b051325b1f8d2ad346751f6b', 'width': 160}]",NGC Daddy,49,artist,spotify:artist:2iNFFCEAFdfAV5hPdpMk6x
0,{'spotify': 'https://open.spotify.com/artist/46kcV0Jk1mdLQEK6oE0lcV'},"{'href': None, 'total': 13223}","['rap df', 'rap nacional antigo']",https://api.spotify.com/v1/artists/46kcV0Jk1mdLQEK6oE0lcV,46kcV0Jk1mdLQEK6oE0lcV,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273ffb53b26482c4de2fc67f152', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02ffb53b26482c4de2fc67f152', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851ffb53b26482c4de2fc67f152', 'width': 64}]",MT das Ruas,18,artist,spotify:artist:46kcV0Jk1mdLQEK6oE0lcV
1,{'spotify': 'https://open.spotify.com/artist/46kcV0Jk1mdLQEK6oE0lcV'},"{'href': None, 'total': 13223}","['rap df', 'rap nacional antigo']",https://api.spotify.com/v1/artists/46kcV0Jk1mdLQEK6oE0lcV,46kcV0Jk1mdLQEK6oE0lcV,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273ffb53b26482c4de2fc67f152', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02ffb53b26482c4de2fc67f152', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851ffb53b26482c4de2fc67f152', 'width': 64}]",MT das Ruas,18,artist,spotify:artist:46kcV0Jk1mdLQEK6oE0lcV
